,frame,keypoint,x,y,z
110,5,left_0005,-614.434187307423,-11.954897910446672,1506.5740205778357
111,5,left_0006,-636.370872563294,6.6148920222687275,1538.3454495791254
112,5,left_0007,-638.4156592292944,7.283874758590623,1565.6187275594727
113,5,left_0008,-631.0710082751327,5.269839497960545,1589.9332206997462
114,5,left_0009,-592.3243757177509,-6.899329948445711,1517.2426199610675
115,5,left_0010,-613.2532065874324,10.848278164844478,1548.2299843946257
116,5,left_0011,-619.7365813434271,11.060324496766018,1571.4678272831893
117,5,left_0012,-616.7121625030455,9.95127143842747,1595.4997046243311
118,5,left_0013,-575.2382382382355,-7.575201394215535,1529.4306687356857
119,5,left_0014,-597.535799302466,8.73905966592617,1555.4052674128245
120,5,left_0015,-604.3795015055002,11.119043620250306,1576.579452359108
121,5,left_0016,-603.8198297374071,11.247022966530967,1597.6302785971882
122,5,left_0017,-565.9446517319612,-11.893133785016309,1540.0688483256965
123,5,left_0018,-585.8394065122006,6.229238138515684,1561.8008218447924
124,5,left_0019,-596.569216495172,10.28974207829088,1577.860266483721
125,5,left_0020,-599.94186361635,10.658865394584389,1593.9915833892205
126,6,left_0000,-587.0339841521942,-70.58198882420288,1451.60068501803
127,6,left_0001,-620.5231173236281,-61.695399802842154,1473.8486306631264
128,6,left_0002,-641.9630998466196,-38.77756070613924,1494.0667311496068
129,6,left_0003,-646.0207804182868,-16.05687546573504,1518.4873437699648
130,6,left_0004,-652.2358216462974,-2.0201083949079117,1536.990706918759
131,6,left_0005,-614.8397454030803,5.69473598517842,1491.507194341809
132,6,left_0006,-627.5698207358338,24.06363781066067,1527.3323897480418
133,6,left_0007,-632.6038648801906,26.413947986808367,1550.977648931352
134,6,left_0008,-633.8687986161361,25.11460061511803,1568.6340344404493
135,6,left_0009,-586.272025745022,8.672466312222742,1504.0235131758427
136,6,left_0010,-602.4569046139668,24.051023463678796,1535.4501349649986
137,6,left_0011,-608.7995571471836,23.752188882059407,1556.4673123216294
138,6,left_0012,-610.1566058603795,21.838661490377643,1575.7056869890512
139,6,left_0013,-564.0387617737268,5.4994604448808095,1516.7857878331524
140,6,left_0014,-580.2451672627184,18.984641790658824,1544.2653361303796
141,6,left_0015,-588.5583446034258,20.445828179035285,1562.013882357454
142,6,left_0016,-594.5851788556356,18.30285707991896,1576.0703962075927
143,6,left_0017,-549.9385129602224,-1.3325038925508574,1527.4960504304552
144,6,left_0018,-563.3694364091424,12.95031066929146,1550.4306967920845
145,6,left_0019,-573.0970938513233,15.990626569364956,1565.337097513986
146,6,left_0020,-579.4800523377276,15.04422795593578,1578.0334200861878
147,7,left_0000,-275.4269470921852,-87.00148865362071,1672.309604732728
148,7,left_0001,-284.37719993495136,-91.15182084687991,1721.390027783684
149,7,left_0002,-282.6135286568994,-78.3296883563934,1766.5597209342147
150,7,left_0003,-273.244921353297,-59.74380524073407,1809.6583045346601
151,7,left_0004,-267.95317850834726,-45.30834139545587,1847.384526423743
152,7,left_0005,-262.1878931311146,-43.260639199913584,1757.1206216011594
153,7,left_0006,-256.76984586268026,-26.35173515045923,1819.6206645663826
154,7,left_0007,-263.12552401440763,-24.25610364926112,1847.391745603087
155,7,left_0008,-270.0965592421887,-27.14233292847346,1861.1529023727983
156,7,left_0009,-244.3367336425982,-35.93200809751541,1756.7756290911432
157,7,left_0010,-237.84913106742297,-22.35531060393556,1816.0882150266843
158,7,left_0011,-245.0988384835757,-22.655572052721553,1842.0822401811743
159,7,left_0012,-252.9642279309504,-27.164941483544286,1857.2796387791602
160,7,left_0013,-230.22147934888173,-32.98969981234926,1759.1957571825308
161,7,left_0014,-223.1254543445509,-21.67116992820685,1813.2657167671875
162,7,left_0015,-231.4881917019647,-20.755338556008393,1836.1584536392613
163,7,left_0016,-240.43373472098588,-24.467222260624904,1849.4296272937377
164,7,left_0017,-220.9080327238959,-32.35339049822249,1763.1595587363709
165,7,left_0018,-212.1287777452683,-20.888591215696326,1810.3757241095566
166,7,left_0019,-219.94697410399326,-19.366810976373966,1831.4188392619092
167,7,left_0020,-228.32753389029648,-22.1782488062753,1843.7775277742603
